nom,rang,adresse,ordre_ens
"Léonard-De Vinci, Annexe",76,,Primaire
Macdonald High School,76,,Secondaire
FRANÇOIS-LA BERNARDE,77,,Primaire
ANJOU,77,,Secondaire
Lévis-Sauvé,78,,Primaire
Sophie-Barat,78,,Secondaire
Léonard-De Vinci,79,,Primaire
"Dorval-Jean-XXIII,édifice Jean-XXIII",79,,Secondaire
Baril,80,,Primaire
"Pierrefonds Community High 
School",80,,Secondaire
SAINTE-GERTRUDE,81,,Primaire
JEAN-GROU,81,,Secondaire
LaSalle Elementary Senior,82,,Primaire
Lester B. Pearson High School,82,,Secondaire
SAINTE-GERTRUDE Annexe,83,,Primaire
Royal Vale School,83,,Secondaire
LaSalle Elementary Junior,84,,Primaire
"Pierre-Laporte, édifice Côte-Vertu",84,,Secondaire
Elan,85,,Primaire
Saint-Georges,85,,Secondaire
RENÉ-GUÉNETTE,86,,Primaire
Des Sources,86,,Secondaire
Sainte-Catherine-Labouré,87,,Primaire
Félix-Leclerc,87,,Secondaire
DE LA FRATERNITÉ,88,,Primaire
Royal West Academy,88,,Secondaire
F.A.C.E. Elementary School,89,,Primaire
Collège Saint-Louis,89,,Secondaire
John Caboto Academy,90,,Primaire
Mont-Royal,90,,Secondaire
Saint-Jean-de-la-Lande,91,,Primaire
John Rennie High School,91,,Secondaire
Nouvelle-Querbes,92,,Primaire
Beaconsfield High School,92,,Secondaire
SAINT-VINCENT-MARIE,93,,Primaire
St. Thomas High School,93,,Secondaire
Pierre-Rémy,94,,Primaire
Outreach,94,,Secondaire
DE LA FRATERNITÉ Annexe,95,,Primaire
"Jean-Paul-Riopelle, bât Jean-Paul-Rioppelle",96,,Primaire
Philippe-Morin,97,,Primaire
Pierre Elliott Trudeau,98,,Primaire
FACE (primaire),99,,Primaire
Saint-François-Solano,100,,Primaire
Saint-Donat,101,,Primaire
Louis-Dupire,102,,Primaire
Arc-en-ciel,103,,Primaire
Edward Murphy,104,,Primaire
L'Eau-Vive,105,,Primaire
Sainte-Claire,106,,Primaire
"DE LA BELLE-RIVE, pav de la Pointe",107,,Primaire
Saint-Grégoire-le-Grand,108,,Primaire
Notre-Dame-de-la-Paix,109,,Primaire
Saint-Benoît,110,,Primaire
Riverview,111,,Primaire
Lajoie,112,,Primaire
Dollard-des-Ormeaux,113,,Primaire
"Saint-Jean-de-la-Lande, annexe",114,,Primaire
Notre-Dame-des-Rapides,115,,Primaire
Sans-Frontières,116,,Primaire
De l’Orée-du-Parc,117,,Primaire
Saint-Antoine-Marie-Claret,118,,Primaire
Coronation,119,,Primaire
Boucher-De La Bruère,120,,Primaire
Bancroft,121,,Primaire
Sainte-Catherine-de-Sienne,122,,Primaire
Marie-de-l'Incarnation,123,,Primaire
Marie-Favery,124,,Primaire
Saint-Émile,125,,Primaire
PIERRE-DE-COUBERTIN,126,,Primaire
"SAINT-RÉMI, annexe",127,,Primaire
LA DAUVERSIÈRE,128,,Primaire
"Jean-Paul-Riopelle, bât Saint-Louis-de 
Gonzague",129,,Primaire
Des Nations,130,,Primaire
Carlyle,131,,Primaire
Sainte-Jeanne-d'Arc,132,,Primaire
SAINT-RÉMI,133,,Primaire
Des Berges-de-Lachine,134,,Primaire
"Bois-Franc-Aquarelle,édifice Bois-Franc",135,,Primaire
Our Lady of Pompei,136,,Primaire
"DE LA BELLE-RIVE, pav. des Trembles",137,,Primaire
SAINT-JOSEPH,138,,Primaire
Saint-Ambroise,139,,Primaire
Sainte-Bernadette-Soubirous,140,,Primaire
Saint-Jean-de-Matha,141,,Primaire
Philippe-Labarre,142,,Primaire
"Des Cinq-Continents, pa.Saint-Antonin",143,,Primaire
"Sainte-Bernadette-Soubirous, annexe",144,,Primaire
Gerald McShane,145,,Primaire
Children's World,146,,Primaire
Dalkeith,147,,Primaire
"Bois-Franc-Aquarelle,édifice Aquarelle",148,,Primaire
SAINTE-GERMAINE-COUSIN,149,,Primaire
Du Grand-Chêne,150,,Primaire
Jardin-des-Saints-Anges,151,,Primaire
Verdun Elementary,152,,Primaire
"Sainte-Odile,annexe",153,,Primaire
La Mennais,154,,Primaire
"Des Cinq-Continents, pav. Dupuis",155,,Primaire
FÉLIX-LECLERC,156,,Primaire
Du Bois-de-Liesse,157,,Primaire
Louis-Hippolyte-Lafontaine,158,,Primaire
Des Saules-Rieurs,159,,Primaire
Saint-Étienne,160,,Primaire
"Saint-Justin, annexe",161,,Primaire
"FÉLIX-LECLERC,transitoire",162,,Primaire
Notre-Dame-de-Lourdes,163,,Primaire
Guy-Drummond,164,,Primaire
"Des Monarques, Annexe St-Jean-Vianney",165,,Primaire
Alice-Parizeau,166,,Primaire
Saint-Barthélemy - Des Érables,167,,Primaire
Internationale de Montréal (primair,168,,Primaire
Allion,169,,Primaire
FERNAND-GAUTHIER,170,,Primaire
Ahuntsic,171,,Primaire
La Vérendrye,172,,Primaire
St. Patrick,173,,Primaire
Hampstead,174,,Primaire
Saint-Pierre-Claver,175,,Primaire
Dollard-des Ormeaux,176,,Primaire
Jean-Grou,177,,Primaire
WILFRID-BASTIEN,178,,Primaire
Enfant-Soleil,179,,Primaire
Saint-Justin,180,,Primaire
Roslyn,181,,Primaire
Pierre Elliott Trudeau,182,,Primaire
Judith-Jasmin,183,,Primaire
Du Grand-Héron,184,,Primaire
Sainte-Bibiane,185,,Primaire
Sainte-Geneviève Ouest,186,,Primaire
St. Monica,187,,Primaire
"Saint-Justin, annexe temporaire",188,,Primaire
Les-Enfants-du-Monde,189,,Primaire
Paul-Bruchési,190,,Primaire
Evergreen,191,,Primaire
Lanaudière,192,,Primaire
Marc-Favreau,193,,Primaire
"Des Monarques, Annexe Marie-Rollet ( 36e av)",194,,Primaire
Cedarcrest,195,,Primaire
"Sainte-Louise-de-Marillac, annexe",196,,Primaire
Le Vitrail-Primaire,197,,Primaire
La Visitation,198,,Primaire
Saint-Barthélemy - Sagard,199,,Primaire
"Marc-Favreau, annexe",200,,Primaire
François-de-Laval,201,,Primaire
Saint-Enfant-Jésus,202,,Primaire
"Des Monarques, Annexe Marie-Rollet ( 
Beaubien)",203,,Primaire
Saint-Ambroise Annexe,204,,Primaire
Notre-Dame-des-Neiges,205,,Primaire
Guillaume-Couture,206,,Primaire
Saint-Marc,207,,Primaire
Dante,208,,Primaire
Dorset,209,,Primaire
NOTRE-DAME,210,,Primaire
Des Découvreurs,211,,Primaire
Iona,212,,Primaire
Saint-Jean-de-Brébeuf,213,,Primaire
SAINT-MARCEL,214,,Primaire
Rose-des-Vents,215,,Primaire
Forest Hill Jr.,216,,Primaire
ALBATROS,217,,Primaire
Laurier,218,,Primaire
Forest Hill Sr.,219,,Primaire
Elizabeth Ballantyne,220,,Primaire
Notre-Dame-de-Grâce,221,,Primaire
FERLAND,222,,Primaire
Du Petit-Chapiteau,223,,Primaire
"Fernand-Seguin, pavillon Hubert-Reeves",224,,Primaire
JACQUES-ROUSSEAU,225,,Primaire
Notre-Dame-de-Grâce annexe,226,,Primaire
Birchwood,227,,Primaire
Sainte-Odile,228,,Primaire
GÉNÉRAL VANIER,229,,Primaire
DENISE-PELLETIER,230,,Primaire
Pierre-de-Coubertin,231,,Primaire
Petits chanteurs du Mont-Royal,232,,Primaire
"François-de-Laval, annexe",233,,Primaire
Atelier,234,,Primaire
"Saint-Donat, annexe",235,,Primaire
Willingdon,236,,Primaire
Royal Vale Elementary,237,,Primaire
Saint-Fabien,238,,Primaire
Cardinal-Léger,239,,Primaire
Sunshine Academy,240,,Primaire
"MARC-AURÈLE-FORTIN, annexe",241,,Primaire
Saint-Arsène,242,,Primaire
Pointe-Claire,243,,Primaire
FÉLIX-LECLERC,244,,Primaire
"Ahuntsic, annexe",245,,Primaire
Parkdale,246,,Primaire
Des Grands-Êtres,247,,Primaire
Beaconsfield,248,,Primaire
"Gilles-Vigneault, annexe temporaire",249,,Primaire
Saint-Paul-de-la-Croix,250,,Primaire
Lalande,251,,Primaire
Gilles-Vigneault,252,,Primaire
Henri-Forest,253,,Primaire
Simonne-Monet,254,,Primaire
Joseph-Henrico,255,,Primaire
Honoré Mercier,256,,Primaire
Murielle-Dumont,257,,Primaire
Saint-Gabriel-Lalemant,258,,Primaire
Dunrae Gardens,259,,Primaire
MARC-AURÈLE-FORTIN,260,,Primaire
Springdale Elementary,261,,Primaire
Saint-Gérard,262,,Primaire
Etoile filante,263,,Primaire
LAMBERT-CLOSSE,264,,Primaire
Saint-Pascal-Baylon,265,,Primaire
"Saints-Martyrs-Canadiens, pav. Sauvé",266,,Primaire
"Beau-Séjour,édifice Nord",267,,Primaire
Terry Fox,268,,Primaire
Coeur-Immaculé-de-Marie,269,,Primaire
"Ahuntsic, transitoire",270,,Primaire
DES ROSERAIES,271,,Primaire
