nom_cgtsim,rang,adresse_cgtsim
Judith-Jasmin,183,
Du Grand-Héron,184,
Sainte-Bibiane,185,
St. Monica,187,
"Saint-Justin, annexe temporaire",188,
Paul-Bruchési,190,
Evergreen,191,
Lanaudière,192,
Marc-Favreau,193,
"Des Monarques, Annexe Marie-Rollet ( 36e av)",194,
Cedarcrest,195,
"Sainte-Louise-de-Marillac, annexe",196,
Le Vitrail-Primaire,197,
La Visitation,198,
Saint-Barthélemy - Sagard,199,
"Marc-Favreau, annexe",200,
François-de-Laval,201,
Saint-Enfant-Jésus,202,
"Des Monarques, Annexe Marie-Rollet ( 
Beaubien)",203,
Saint-Ambroise Annexe,204,
Guillaume-Couture,206,
Saint-Marc,207,
Dante,208,
Dorset,209,
NOTRE-DAME,210,
Des Découvreurs,211,
Iona,212,
SAINT-MARCEL,214,
Rose-des-Vents,215,
Forest Hill Jr.,216,
ALBATROS,217,
Laurier,218,
Forest Hill Sr.,219,
Elizabeth Ballantyne,220,
FERLAND,222,
Du Petit-Chapiteau,223,
"Fernand-Seguin, pavillon Hubert-Reeves",224,
JACQUES-ROUSSEAU,225,
Notre-Dame-de-Grâce annexe,226,
Birchwood,227,
Sainte-Odile,228,
GÉNÉRAL VANIER,229,
DENISE-PELLETIER,230,
Petits chanteurs du Mont-Royal,232,
"François-de-Laval, annexe",233,
Atelier,234,
"Saint-Donat, annexe",235,
Willingdon,236,
Royal Vale Elementary,237,
Saint-Fabien,238,
Cardinal-Léger,239,
Sunshine Academy,240,
"MARC-AURÈLE-FORTIN, annexe",241,
Saint-Arsène,242,
Pointe-Claire,243,
FÉLIX-LECLERC,244,
"Ahuntsic, annexe",245,
Parkdale,246,
Des Grands-Êtres,247,
Beaconsfield,248,
"Gilles-Vigneault, annexe temporaire",249,
Lalande,251,
Gilles-Vigneault,252,
Henri-Forest,253,
Simonne-Monet,254,
Joseph-Henrico,255,
Honoré Mercier,256,
Murielle-Dumont,257,
Dunrae Gardens,259,
MARC-AURÈLE-FORTIN,260,
Springdale Elementary,261,
Saint-Gérard,262,
Etoile filante,263,
LAMBERT-CLOSSE,264,
"Saints-Martyrs-Canadiens, pav. Sauvé",266,
Terry Fox,268,
"Ahuntsic, transitoire",270,
DES ROSERAIES,271,
"Harfang-des-Neiges, édifice Lauzon",272,
St. John Fisher Sr.,273,
Perce-Neige,274,
Sainte-Cécile,276,
Saint-Gérard,278,
SIMONE-DESJARDINS,279,
Laurentide,281,
CHÉNIER,282,
Soulanges,283,
Alphonse-Desjardins annexe temporaire,284,
"SIMONE-DESJARDINS, pav. Perras",285,
"Saint-Fabien, annexe Rosalie-Jetté",286,
GABRIELLE-ROY,287,
"Gentilly, édifice de la Présentation",288,
"Saints-Martyrs-Canadiens, pav. Sauriol",289,
Michelangelo International Elementa,291,
Des Amis-du-Monde,292,
De la Mosaïque,293,
Henri-Beaulieu,295,
"Harfang-des-Neiges,édifice Gouin",296,
Saint-Isaac-Jogues,298,
Christmas Park,299,
VICTOR-LAVIGNE,300,
St. John Fisher Jr.,301,
Mount Pleasant,303,
Leonardo da Vinci,304,
Merton,306,
Saint-Clément-Ouest,307,
Jonathan,308,
Dorval Elementary,309,
WILFRID-PELLETIER,310,
Saint-Louis,311,
"La Petite-Patrie, pav. NDD",313,
"Gentilly, édifice Fénelon",314,
Katimavik,315,
Ile-des-Soeurs,316,
Wilder Penfield,317,
St. Anthony,318,
Edgewater,319,
Edouard-Laurin,320,
Académie Saint-Clément,321,
Saint-André-Apôtre,322,
"WILFRID-PELLETIER, annexe",323,
East Hill,324,
St. Charles,325,
"Notre-Dame-de-la-Garde,édifice Richard",326,
De l'Odyssée,327,
Saint-Luc,328,
Saint-Clément-Est,329,
Jacques-Bizard,330,
Des Marguerite,331,
Christ-Roi,332,
Margaret Manson Elementary School,333,
Louis-Colin,334,
Clearpoint Elementary,335,
Beechwood,336,
Catherine-Soumillard,337,
"Saint-André-Apôtre, annexe",338,
"Gardenview 0,87364 95-
100%",339,
